customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
20044,Walker Center,Walker,Susan,+1 (820) 963-9138,360 Manor Rd,Rm 703,Denver,VT,48696,USA,1625,41000
20045,Allen & Watson Co.,Allen,Helen,+44 22 5835 6352,7223 Maple Terr,,Brussels,,50492,Belgium,1619,52000
20046,Golden Trade Imports,Morris,Steven,+49 579 139592,6512 Magnolia Ln,Floor 15,Trondheim,,39571,Norway,1370,108500
20047,Stewart Ventures,Stewart,Sandra,+49 694 438129,9996 Highland Circle,Rm 476,Nelson,,52992,New Zealand,1165,5700
20048,Roberts Boutique,Roberts,Sarah,+33 8 66 40 56 22,6687 Summit St,,Hamilton,NS,V2P 1S9,Canada,,114500
20049,Collins Enterprises,Collins,Jessica,+33 2 80 36 85 37,5465 Valley Blvd,,Logan City,NSW,1828,Australia,1625,64400
20050,Royal Trade Inc.,Taylor,Charles,+81-70-2862-2041,5305 Oak Blvd,Apt 760,Washington,KS,87182,USA,1401,7800
20051,Sunrise Auto LLC,Gutierrez,Raymond,(282) 529-3430,1769 Walnut Loop,,Dundalk,,65872,Ireland,1143,104800
20052,Parker Co.,Parker,Nicole,+34 804 525 847,7047 Hollow Dr,,Breda,,38183,Netherlands,1143,172900
20053,Hernandez Services,Hernandez,Adam,(620) 562-7929,983 Chestnut Pl,,Las Vegas,FL,82924,USA,1702,48700
20054,Lewis Associates,Lewis,Kathleen,+1 (823) 873-5381,4565 Sycamore Dr,,Groningen,,25058,Netherlands,1102,20200
20055,James Models,James,Larry,+44 58 6105 6314,3525 Garden Way,,Los Angeles,CO,79531,USA,1621,5700
20056,Cruz Store,Cruz,Paul,+34 869 783 415,1817 Harbor Circle,,Sheffield,Wales,GY66 2LN,UK,1102,34000
20057,Golden Trade Inc.,Allen,Maria,+61 3 7505 1693,2117 Garden Pl,,Düsseldorf,,33028,Germany,1370,214400
20058,Nguyen Partners,Nguyen,Rebecca,(449) 646-7560,7539 Station Ave,,Oklahoma City,HI,91018,USA,1501,22400
20059,Anderson & Jimenez Associates,Anderson,Samantha,(381) 991-9095,2400 Meadow Dr,Apt 779,San Jose,KS,23474,USA,1370,59100
20060,Green & Cruz Ltd.,Green,Benjamin,+49 502 483866,9690 Cedar Ln,,Frankfurt,,46002,Germany,1102,3700
20061,Roberts Center,Roberts,Nicholas,+34 652 930 957,7793 Cherry Blvd,,London,,ZS84 4KT,UK,1323,93600
20062,Gutierrez & Campbell Associates,Gutierrez,Shirley,+61 3 6401 2548,5544 Hickory St,,Lucerne,,63578,Switzerland,1501,20100
20063,James & Hall Trading,James,Justin,+61 4 9624 2531,9750 Elm Rd,,Porsgrunn,,26901,Norway,1611,24500
20064,Morales & Lewis Corp.,Morales,Jerry,+44 87 7172 3527,8844 Willow St,,Denver,CT,76543,USA,1166,174800
20065,Gray & Cruz Ventures,Gray,George,+33 6 96 83 66 69,3919 Bay Ct,,Milwaukee,IA,79993,USA,1621,15100
20066,Allen Exports,Allen,Sarah,+34 862 250 950,8453 Park Rd,Apt 280,Nelson,,23446,New Zealand,1370,9500
20067,Metro Import Ltd.,Cook,Ronald,+44 71 8349 1086,5494 Hill Blvd,Rm 484,Los Angeles,MA,22987,USA,,291000
20068,Premier Auto Solutions,Walker,Andrew,+1 (847) 727-4963,1030 Park Ct,,Lille,,69914,France,1619,10100
20069,Atlantic Craft Distribution,Ortiz,David,+49 795 27031,334 Garden Ct,Floor 383,Essen,,82633,Germany,1323,115700
20070,Royal Export Exports,Cooper,Amanda,+1 (523) 517-9444,606 Harbor Dr,Apt 908,Brisbane,VIC,8498,Australia,1337,53700
20071,Urban Trade Associates,Miller,Heather,+34 788 916 631,6335 School Blvd,,Strasbourg,,67637,France,1216,27000
20072,Wilson International,Wilson,Michelle,+61 8 5498 1939,2731 Hollow Ln,,Adelaide,ACT,7981,Australia,1143,6400
20073,Gray Collectibles,Gray,Nicole,+1 (819) 357-8371,6002 Station Way,,San Francisco,WY,94562,USA,,229400
20074,Young Inc.,Young,Kimberly,+34 709 726 392,9203 Park Rd,,Kawasaki,,630-7340,Japan,1612,9000
20075,Silver Trade Distribution,Lopez,Jeffrey,+44 41 9094 1430,8336 Highland Ave,,Liverpool,Scotland,WW90 3ZL,UK,1323,5700
20076,Alvarez Depot,Alvarez,Ronald,+34 838 796 629,1209 Lake Ln,,Strasbourg,,85353,France,1323,41200
20077,Thomas & Hill Group,Thomas,Linda,+44 91 5961 9740,4654 Elm Rd,Ste 282,Charlotte,MN,78012,USA,1143,54000
20078,Garcia Ltd.,Garcia,Larry,+1 (709) 842-9938,3454 Sycamore Way,,Atlanta,KY,95344,USA,1286,130500
20079,Davis & Cruz Services,Davis,Frank,+61 7 7532 3142,9940 Hill Ln,,Cologne,,54589,Germany,1619,168400
20080,Diamond Art Services,Miller,Richard,+34 855 415 609,5124 Sunset Blvd,,Austin,MA,85718,USA,1102,146700
20081,Murphy Gallery,Murphy,Andrew,+81-49-1741-7563,2195 Meadow Loop,,Hamburg,,66482,Germany,1143,208000
20082,Richardson Corp.,Richardson,Kimberly,+33 9 61 74 15 15,5556 Magnolia Ln,,Kolding,,58915,Denmark,1102,42200
20083,Green & Gomez Ventures,Green,Brandon,+49 516 865374,8312 Cherry Pl,,Sapporo,,707-6511,Japan,1102,3300
20084,Wood & Castillo LLC,Wood,Dorothy,+81-22-7765-4340,1801 Sunset St,,Manchester,,EV32 1SW,UK,1337,7700
20085,Horizon Craft Partners,Clark,Eric,+49 654 517699,5609 Poplar Ln,,Jacksonville,NJ,79878,USA,1188,72500
20086,Clark Boutique,Clark,Alexander,+81-53-6654-3399,4716 Park Terr,,Essen,,45842,Germany,1286,84600
20087,Capital Sales Corp.,Sanchez,Margaret,+1 (302) 623-6411,832 Willow Dr,,Colorado Springs,KS,41779,USA,1619,40800
20088,Morris & Long Trading,Morris,Jacob,+1 (379) 627-3880,9407 Highland Pl,,Houston,WY,21725,USA,,64400
20089,Hill International,Hill,Mary,+61 4 8518 5215,2199 Cherry Ct,Rm 116,Long Beach,ND,74738,USA,1619,23500
20090,Brooks Shop,Brooks,Kelly,+33 1 43 59 40 67,1563 Spring Blvd,,Hamburg,,62538,Germany,1619,122300
20091,Bennett Imports,Bennett,Linda,+49 406 654481,5096 Park Circle,,Memphis,UT,75866,USA,1188,95500
20092,Stewart & Ross Solutions,Stewart,Stephen,+33 9 29 31 51 76,1839 Cedar Pl,,Kitchener,QC,T7T 5C9,Canada,1370,142400
20093,Taylor Store,Taylor,Ryan,(754) 261-2130,50 Forest Terr,Floor 353,Edinburgh,,VZ40 1MI,UK,,170300
20094,Edwards Shop,Edwards,Timothy,+81-70-3086-4648,5698 Park Blvd,,Long Beach,FL,95660,USA,1625,257900
20095,Robinson & Collins Associates,Robinson,Joyce,+1 (446) 411-2102,528 Ridge Terr,,Fort Worth,WA,24790,USA,1165,300
20096,Cooper & Long LLC,Cooper,Sandra,+61 5 5944 3347,5225 Sycamore Terr,,Denver,IA,85511,USA,,26500
20097,Bailey Collectibles,Bailey,Jason,+34 723 969 330,5223 Ridge Way,Floor 189,Kolding,,78742,Denmark,1286,234400
20098,Roberts & Allen Enterprises,Roberts,Sarah,+1 (474) 586-1647,1515 Poplar Loop,,Philadelphia,NH,58637,USA,1702,233800
20099,Hill Enterprises,Hill,Kevin,+61 6 7236 8639,3975 Hickory Loop,Apt 566,Gothenburg,,72773,Sweden,1501,1800
20100,National Supply International,Stewart,Patrick,+81-40-3497-4214,2391 Oak Rd,,Lille,,39002,France,1286,99900
20101,Morales Store,Morales,Joyce,+1 (736) 234-2217,8955 Walnut Blvd,,Washington,HI,28344,USA,,40600
20102,Johnson & Cook Imports,Johnson,Karen,+1 (217) 742-5501,7917 Walnut St,Ste 422,Virginia Beach,SD,97392,USA,1501,30100
20103,Ortiz & Walker Enterprises,Ortiz,Richard,+34 889 349 813,6503 Elm Ln,,Adelaide,TAS,5379,Australia,1188,6800
20104,Carter Collectibles,Carter,Timothy,(740) 243-4764,7110 School Terr,,Brisbane,VIC,9189,Australia,1188,8700
20105,Cooper Group,Cooper,Kimberly,+81-12-5903-3661,3395 Chestnut Blvd,,Winterthur,,12052,Switzerland,1501,231100
20106,Ruiz Wholesale,Ruiz,Sarah,+81-44-1485-5478,7162 Highland Ave,Rm 629,Fukuoka,,154-2600,Japan,1621,19100
20107,Carter Ventures,Carter,Raymond,+44 60 6188 6909,1345 Summit Blvd,,San Francisco,VA,19634,USA,1165,22300
20108,Edwards Models,Edwards,Sharon,+1 (498) 623-7353,9781 Hickory Ln,,Washington,OK,22198,USA,1621,32400
20109,Classic Sales Exports,Moore,Lisa,+61 6 5040 9123,6900 Bay Ct,,Austin,NV,46170,USA,1504,40200
20110,Nelson Boutique,Nelson,Timothy,+33 8 50 32 60 50,4923 Church Terr,,Lille,,27842,France,1286,186400
20111,Premier Art Enterprises,Gomez,Tyler,(618) 889-9180,3435 Hollow Rd,,Edinburgh,Scotland,VY71 1XO,UK,1165,213500
20112,Morris Depot,Morris,Scott,(311) 987-5067,603 Station Loop,,Düsseldorf,,81256,Germany,1611,148800
20113,Parker Inc.,Parker,Kevin,+34 791 500 574,9143 Chestnut Loop,,Charlotte,NC,77999,USA,1621,5900
20114,Anderson & Hall Trading,Anderson,David,+34 763 168 407,5707 Birch Ave,,Columbus,ND,73298,USA,1102,5500
20115,Young & Peterson Group,Young,Jack,+81-53-1478-4232,6637 Spring Blvd,,Baltimore,NJ,40389,USA,1370,4300
20116,Morgan & Campbell International,Morgan,Aaron,+81-78-2871-6700,8020 Willow Circle,Floor 626,San Diego,KY,97910,USA,1323,4600
20117,Thomas & Flores Co.,Thomas,Joshua,+81-26-8973-9804,6853 Hickory Blvd,,San Jose,NC,60916,USA,1612,50000
20118,Edwards Associates,Edwards,Victoria,+34 809 801 603,3197 Garden Pl,,Helsingborg,,27895,Sweden,1337,29500
20119,Royal Export Holdings,Lewis,Kimberly,+61 2 8231 9951,1855 Sycamore Ave,Ste 844,Kawasaki,,662-9369,Japan,1188,4300
20120,Lopez Models,Lopez,Brian,+81-24-3281-4385,9633 Market Loop,,Seville,,37509,Spain,1625,32800
20121,Central Sales Wholesale,Nguyen,Alexander,+44 27 5090 3396,6744 Cedar Rd,,Graz,,27771,Austria,1612,117600
20122,Edwards Ltd.,Edwards,Timothy,(948) 669-6869,7450 Walnut Ln,,Nice,,58374,France,1625,273700
20123,Capital Art Corp.,Torres,Adam,+44 67 8479 1011,7530 Oak Ave,,Leeds,Wales,VY7 1DU,UK,,140900
20124,Urban Trade Associates,Lopez,Kimberly,+44 86 4705 9510,1560 Main Dr,,Vancouver,ON,N4H 6X1,Canada,1612,298200
20125,Martinez & Roberts Ltd.,Martinez,Kathleen,+44 93 3340 2120,6023 Bay Blvd,,Yokohama,,205-6133,Japan,1501,18000
20126,Mendoza Gifts,Mendoza,Brandon,+61 4 5059 5537,9660 Garden Ln,,San Antonio,FL,26142,USA,1611,1200
20127,Hill & Gutierrez Ventures,Hill,Raymond,+33 8 91 86 19 77,895 Valley Ct,,Düsseldorf,,48737,Germany,1702,208000
20128,Thompson Models,Thompson,Debra,+81-67-5693-9209,3535 Maple St,,Phoenix,AL,44365,USA,1621,26100
20129,Hernandez & Martin Distribution,Hernandez,Donna,+33 1 41 21 65 24,1084 Bay Loop,,Colorado Springs,SD,95175,USA,1370,6100
20130,Hughes Group,Hughes,Sarah,+49 780 939473,8475 Meadow Blvd,,Stuttgart,,78551,Germany,1165,92900
20131,Watson Exports,Watson,Pamela,+49 821 117903,8186 Sycamore Blvd,,Nantes,,17266,France,1702,6700
20132,Campbell Toys,Campbell,Jacob,+49 875 91670,6871 Highland Ln,# 328,Chicago,OK,95944,USA,1504,600
20133,Classic Supply Ltd.,Reyes,William,+34 995 894 300,3975 Glen Ln,,London,Wales,GJ73 5XT,UK,1619,5500
20134,Brooks International,Brooks,Brian,+81-65-1981-3332,1704 Forest Pl,,Louisville,WV,50306,USA,1612,139700
20135,Hernandez Wholesale,Hernandez,Catherine,+44 41 5778 5276,9304 Cedar Way,,Memphis,CA,87580,USA,1625,198900
20136,Sanchez & Jimenez Holdings,Sanchez,Barbara,+33 8 49 69 43 25,7636 Church Way,Unit 988,San Antonio,HI,68925,USA,1143,11100
20137,Jackson Solutions,Jackson,Michelle,+44 14 7625 8408,803 Bay Rd,,Porsgrunn,,77300,Norway,1501,5500
20138,Jimenez & Taylor Enterprises,Jimenez,Adam,+1 (266) 402-8265,1377 Chestnut Terr,Rm 77,Genoa,,99952,Italy,1621,168400
20139,Parker Store,Parker,Pamela,+33 5 73 62 80 71,3518 Spring Rd,Apt 36,Baltimore,ID,56392,USA,1143,15500
20140,Cooper Partners,Cooper,Aaron,+61 8 5430 3946,8922 Walnut Ln,,Málaga,,72873,Spain,1102,192100
20141,Howard & Lee Co.,Howard,Jerry,+81-48-3846-3885,917 Highland Terr,,San Francisco,LA,79951,USA,1188,42900
20142,Jackson & Murphy Distribution,Jackson,Larry,+1 (539) 828-4300,921 Highland Terr,Ste 490,Fresno,AZ,21830,USA,1621,3400
20143,Price & Jimenez Co.,Price,Emma,+44 31 8157 8982,6121 Manor Terr,Unit 331,Groningen,,19506,Netherlands,1611,119400
20144,Thompson Gallery,Thompson,Emma,+1 (386) 816-6213,30 Sycamore Way,,Sapporo,,230-3911,Japan,,18800
20145,Golden Motor Ltd.,Walker,Barbara,+49 835 123282,187 Meadow Dr,Suite 359,Genoa,,68540,Italy,1619,175000
20146,Hall Models,Hall,Timothy,+49 50 344198,3696 River Ct,Rm 35,Catania,,95323,Italy,1216,1000
20147,Baker Collectibles,Baker,Elizabeth,+33 7 99 80 79 43,7114 River St,Apt 998,Lyon,,89602,France,1611,232400
20148,Smith Models,Smith,George,+34 659 415 903,1590 Oak Dr,Unit 84,Raleigh,NM,36171,USA,1337,36400
20149,Mitchell & Edwards LLC,Mitchell,Timothy,(287) 884-6632,4401 Sycamore St,# 684,Albuquerque,KY,39654,USA,1621,79600
20150,Morgan Center,Morgan,Rebecca,+44 26 8357 3832,1294 Manor Loop,Ste 923,Palmerston North,,49171,New Zealand,,800
20151,Sanchez & Kim Industries,Sanchez,Sharon,+34 606 905 817,9116 Manor Pl,Unit 533,Phoenix,CO,60868,USA,1611,2600
20152,Jimenez Trading,Jimenez,Larry,+34 619 276 382,4328 Garden Circle,,Napier,,63856,New Zealand,1337,90200
20153,Myers Gallery,Myers,Michael,(433) 337-5923,4966 Bay Rd,,Brussels,,54284,Belgium,,4400
20154,Evans Depot,Evans,Margaret,+81-20-9589-1474,2605 Pine Rd,,Auckland,,77537,New Zealand,1166,4400
20155,Silver Export Wholesale,Sanchez,Alexander,+34 690 991 585,501 Valley Ln,,Marseille,,99282,France,1504,3500
20156,Miller & Kelly Enterprises,Miller,Deborah,+1 (999) 985-1145,3388 Summit Circle,,Utrecht,,98826,Netherlands,1370,130100
20157,Crystal Import Associates,Chavez,Alexander,(207) 723-7131,4951 Willow Terr,,Toulouse,,71171,France,1501,59200
20158,Urban Sales Enterprises,Adams,Samantha,+34 751 365 528,6621 Church Circle,Suite 672,San Francisco,AR,88647,USA,1337,149500
20159,Mendoza Boutique,Mendoza,Mark,+49 772 857609,9147 Spring Rd,Apt 759,Munich,,96194,Germany,1501,47900
20160,Flores Boutique,Flores,Catherine,(683) 399-9199,1930 Birch St,,Colorado Springs,ME,70786,USA,1165,31200
20161,Baker Center,Baker,Betty,+44 51 1950 1077,5184 Spring Ave,,Mons,,28772,Belgium,1370,2100
20162,Brooks Shop,Brooks,Sharon,+1 (529) 975-9700,77 Maple Pl,Unit 973,Montpellier,,60242,France,1188,74900
20163,Royal Trade LLC,Roberts,Susan,+44 54 9031 6885,9771 Willow Ln,,Denver,NJ,78195,USA,1619,46300
20164,Ramirez Holdings,Ramirez,Thomas,+1 (808) 249-2771,613 Garden Circle,Ste 639,Hamburg,,58049,Germany,1611,91700
20165,Clark Trading,Clark,Karen,+44 64 2718 9381,8525 Summit Terr,,Marseille,,96832,France,1619,14600
20166,Gutierrez & Rivera Services,Gutierrez,Adam,(313) 787-9095,3403 Birch Ln,Suite 688,Chicago,OK,75058,USA,1166,122400
20167,Sunrise Auto Co.,Nguyen,Ryan,(976) 246-1158,5902 Church Way,,Rome,,48085,Italy,1625,42900
20168,Royal Trade Partners,Mitchell,Elizabeth,+44 25 3171 1960,6320 Birch Way,,Montpellier,,45629,France,,222400
20169,Alpha Auto Corp.,Jimenez,Timothy,+1 (921) 894-9598,6739 Hollow St,# 322,Dortmund,,24802,Germany,1621,147800
20170,Hughes Services,Hughes,Frank,+1 (211) 858-3571,6306 Hill Pl,,Perth,ACT,6664,Australia,1401,66500
20171,Miller & Peterson Partners,Miller,Kimberly,+34 828 423 221,7522 Hollow Terr,,Toulouse,,20332,France,,3700
20172,Heritage Craft Enterprises,Cox,Diane,+34 966 772 472,890 Highland Ct,Rm 635,Canberra,TAS,6953,Australia,1619,72200
20173,Hughes LLC,Hughes,Melissa,+33 2 60 37 68 34,6705 Washington Rd,,Mons,,28408,Belgium,1619,1100
20174,Collins & Murphy Inc.,Collins,Laura,+44 99 3845 3103,7092 Chestnut Ct,,Berlin,,82512,Germany,1165,141100
20175,Ross & Scott Partners,Ross,Frank,+49 893 745570,2186 Lake Way,,Drammen,,69355,Norway,1501,39500
20176,Elite Motor Wholesale,Mendoza,Emily,+81-4-9564-2744,6840 Poplar Rd,,Bristol,England,YL72 8SS,UK,1102,18400
20177,Allen & Davis Trading,Allen,Debra,+33 9 59 40 75 99,7416 Washington Terr,,Long Beach,AZ,57013,USA,1286,44400
20178,National Art Imports,Johnson,Michael,+33 5 67 32 97 19,8956 Hickory Dr,,Genoa,,87120,Italy,1166,87700
20179,Allen International,Allen,Justin,+49 532 838278,2519 Church Terr,# 631,Munich,,15235,Germany,1504,41400
20180,Cook & Turner Distribution,Cook,Tyler,+33 9 70 81 93 11,3625 Forest Circle,Unit 301,Hamburg,,55796,Germany,1165,9800
20181,Adams Models,Adams,Debra,+34 849 144 403,405 Willow Ln,,Bordeaux,,47070,France,1702,1900
20182,Bennett & Mendoza Services,Bennett,Anthony,+1 (670) 934-6434,7131 Pine Loop,,Turin,,80484,Italy,1102,8600
20183,Roberts Shop,Roberts,Edward,(974) 963-1745,1939 Poplar St,,Paris,,61052,France,1612,60600
20184,Ross Shop,Ross,Andrew,+49 679 161074,2562 Poplar Dr,Floor 816,Paris,,72126,France,1286,8900
20185,Jackson LLC,Jackson,Brenda,+61 5 7760 9397,8971 Elm Rd,# 926,Raleigh,MT,80405,USA,1165,900
20186,Reyes Trading,Reyes,Stephen,+33 6 72 67 52 88,3843 Washington Rd,,Edmonton,QC,G9S 5M2,Canada,1611,271200
20187,Young & Alvarez Services,Young,Joshua,+49 528 588469,5433 Birch Ct,,Las Vegas,FL,99073,USA,1165,13300
20188,Martinez Inc.,Martinez,Benjamin,+49 586 947412,9485 Manor Terr,Suite 565,Amsterdam,,86269,Netherlands,,86600
20189,Rogers Partners,Rogers,Nicholas,+44 83 3395 8921,2718 Cherry Blvd,,New York,TX,41310,USA,,40500
20190,Diamond Export Imports,Gutierrez,Anthony,+49 884 787948,5310 Washington Loop,,Auckland,,95003,New Zealand,1216,5400
20191,Lewis Boutique,Lewis,Timothy,+44 67 3713 4768,7899 Hickory St,,Genoa,,73813,Italy,1143,6400
20192,Nelson Exports,Nelson,Rebecca,+44 91 9399 1642,707 Lake Terr,,Quebec City,AB,V2X 6A3,Canada,1702,227500
20193,Brooks Trading,Brooks,Larry,+44 85 3979 9369,9938 Birch Ct,Rm 421,Uppsala,,68877,Sweden,1216,23700
20194,Wilson Enterprises,Wilson,Thomas,+1 (744) 715-2925,6878 Hill Terr,Floor 924,Essen,,99701,Germany,1143,150200
20195,Garcia Gifts,Garcia,Melissa,(635) 337-5170,5743 Chestnut Loop,,Helsingborg,,59969,Sweden,1401,281500
20196,Price Holdings,Price,James,+81-49-2746-3535,6145 Forest Loop,,Essen,,10942,Germany,1337,51800
20197,Long & Evans Distribution,Long,Ronald,+49 621 371083,6066 Magnolia Pl,,Palma,,33425,Spain,1621,15500
20198,Lee Enterprises,Lee,Rachel,+1 (293) 348-8727,853 River Way,,Stuttgart,,82165,Germany,,4400
20199,Alpha Auto Group,Ward,Stephanie,+33 3 96 14 56 40,8490 Harbor Dr,Ste 523,Canberra,NSW,4304,Australia,1611,209900
20200,Gutierrez Ltd.,Gutierrez,Betty,+33 4 68 61 83 10,9161 Chestnut Ln,Rm 284,Lugano,,47289,Switzerland,1216,2000
20201,Sunrise Import Holdings,Morgan,Steven,+34 659 364 169,7518 Glen Terr,,Cologne,,54520,Germany,1337,135000
20202,Morgan Industries,Morgan,Eric,+34 760 462 323,5604 Pine Pl,,Philadelphia,MT,98302,USA,1702,286500
20203,Patel & King Enterprises,Patel,Donald,+34 914 106 882,2556 Washington Ave,,San Francisco,SC,56665,USA,1625,87100
20204,Diamond Parts Holdings,Rogers,Maria,+44 69 2972 9490,8860 Maple Pl,Rm 703,Kansas City,NV,72694,USA,1370,71100
20205,Metro Sales Exports,White,Dorothy,+61 7 7563 5581,3014 Walnut Way,# 771,Turku,,57962,Finland,1370,59300
20206,Parker Gifts,Parker,Brenda,+61 9 5915 5111,2894 Ridge Ct,Rm 646,San Jose,NM,11276,USA,1501,119100
20207,Gonzalez Boutique,Gonzalez,Benjamin,+61 5 9821 3859,4223 Market St,,Las Vegas,OK,83071,USA,,133100
20208,Sunrise Motor Group,Ward,Timothy,+49 757 290465,1169 Elm Blvd,Unit 325,Gold Coast,NT,7631,Australia,1504,290800
20209,Williams & Sanders Solutions,Williams,Nancy,+1 (226) 989-7504,6506 Washington Ave,Floor 562,Melbourne,WA,3734,Australia,1501,162600
20210,Sunrise Motor Corp.,Patel,Ashley,+34 876 378 661,576 Market Ln,,Munich,,13744,Germany,1370,239600
